Tim Welke,2353,426,2779
Dale Scott,2345,379,2724
Fieldin Culbreth,2170,398,2568
Ted Barrett,2497,392,2889
Dana DeMuth,1332,215,1547
John Hirschbeck,230,48,278
Mike Winters,1530,232,1762
Jerry Layne,1994,376,2370
Jerry Meals,1991,324,2315
Jim Joyce,1127,174,1301
Joe West,2399,460,2859
Tom Hallion,2015,321,2336
Gary Cederstrom,2340,405,2745
Brian Gorman,1988,337,2325
Greg Gibson,2317,336,2653
Mark Wegner,2296,365,2661
Hunter Wendelstedt,1843,289,2132
Manny Gonzalez,2169,310,2479
Gerry Davis,2257,326,2583
Doug Eddings,2274,381,2655
Marty Foster,2563,428,2991
Eric Cooper,2179,299,2478
Bill Welke,2289,349,2638
Paul Schrieber,2523,329,2852
Ron Kulpa,2260,399,2659
Bob Davidson,2464,438,2902
Andy Fletcher,2425,371,2796
Mike DiMuro,2242,375,2617
Paul Emmel,2177,360,2537
Jim Reynolds,2180,338,2518
Dan Iassogna,2424,402,2826
Phil Cuzzi,2221,339,2560
Marvin Hudson,2485,431,2916
Rob Drake,2371,390,2761
Chris Guccione,1931,304,2235
Kerwin Danley,1979,350,2329
Jim Wolf,1765,308,2073
Clint Fagan,2737,456,3193
Ed Hickox,1902,311,2213
James Hoye,2269,339,2608
Mike Estabrook,2325,372,2697
Chris Conroy,1714,242,1956
CB Bucknor,2379,346,2725
Brian Knight,2404,347,2751
Sean Barber,2246,395,2641
Pat Hoberg,2622,383,3005
Lance Barksdale,2331,317,2648
David Rackley,2006,312,2318
Tim Timmons,2535,435,2970
Mike Muchlinski,2043,325,2368
Cory Blaser,2392,381,2773
Mark Ripperger,2445,388,2833
Will Little,2440,377,2817
John Tumpane,2575,397,2972
Todd Tichenor,2697,414,3111
Lance Barrett,2221,350,2571
Hal Gibson III,2640,379,3019
Quinn Wolcott,2572,391,2963
Alan Porter,2384,366,2750
Jordan Baker,1924,295,2219
Bill Miller,2361,392,2753
Jeff Kellogg,2121,349,2470
Larry Vanover,2309,364,2673
Jeff Nelson,2553,407,2960
Dan Bellino,2179,305,2484
Angel Hernandez,2359,428,2787
Vic Carapazza,2350,340,2690
Laz Diaz,2370,415,2785
Brian O'Nora,1924,380,2304
Toby Basner,1870,281,2151
Paul Nauert,2090,400,2490
Adam Hamari,2185,303,2488
Mark Carlson,2212,359,2571
Gabe Morales,2783,418,3201
Scott Barry,2276,375,2651
D.J. Reyburn,2101,312,2413
Adrian Johnson,2114,346,2460
Seth Buckminster,2011,271,2282
Chris Segal,2074,297,2371
Marcus Pattillo,1290,189,1479
Tom Woodring,1560,246,1806
Stu Scheurwater,252,36,288
Jon Byrne,120,14,134
Angel Campos,883,122,1005
Jeff Gosney,159,12,171
Mike Everitt,1423,251,1674
Tony Randazzo,1059,149,1208
Alfonso Marquez,1007,172,1179
Chad Fairchild,770,112,882
